sentiment	text
0	"Gillian Anderson is an arrogant, driven, career woman who picks up working class oik Danny Dyer for a night of fun. After a stupid accident in the countryside, they are brutally attacked. After recovering, and after a chance meeting with one of the attackers, their thoughts turn to that of revenge...<br /><br />I thought ""Straightheads"" was terrible. Violent, brutal, misogynistic and unpleasant. If I didn't dislike the phrase a great deal I would call ""Straightheads"" a video nasty. Certainly it was the kind of film that would have had a no budget release straight to video during the dark days of the 1980's. Frankly I don't know how ""Straightheads"" got a cinema release.<br /><br />I am not a prude. I don't mind sex and violence in the movies, but they have to be married to a movie with a) a good plot or b) good characterisation or c) preferably both. ""Straightheads"" had neither. No progression in the plot or the characters and too much left unexplained and unsaid. Luckily ""Straightheads"" went nowhere fast. It was only 80 minutes long.<br /><br />It was a shame, because there was the germ of an interesting film here, with an especially interesting turn in the plot in the last third. How often do I say this, but it could have been good if it had been done properly. What a shame. I really like Gillian Anderson and Danny Dyer, but they were on a hiding to nothing with this film. She, especially, is very underrated (and is still particularly fit).<br /><br />If you want to see a good British revenge movie, rent or buy Shane Meadows' ""Dead Man's Shoes"". It is a little masterpiece. Last weekend I should have seen his ""This Is England"" instead. Ce sera sera..."
1	"Kay Pollack (the man behind this movie) is a real great man who tries to share his life philosophy in different ways. He has written a bunch of good and well written books about how to control your senses and keep your soul happy. The message in most of his books and this movie, is about that your thoughts in fact is what causes your problems and that the reason of your anger hardly ever is caused of what you think of. The main message is that you can choose to be happy, but hardly ever do that.<br /><br />To watch this movie and learn something very important on life, you have to keep your mind very open and L I S T E N to all the ""hidden messages"" (or guidelines to get through life) which most of the parts in this movie contains if you listen and watch. Watch it with your ears.<br /><br />You won't learn the meaning of life, but you'll learn how to live and get the most out of it...<br /><br />So, while watching, please keep in mind:<br /><br />""The mind is like a parachute, it doesn't work unless it's open!"""
0	This is really a very bad movie. Why? First of all, the story is bad. It is an artificial story, combining all sorts of things together that make no sense. It just seems a wrong experiment. Secondly, the actors cannot play in a realistic manner. They cannot even talk as an actor should. Why did I buy this movie? And what must I do with it now?
0	After spotting the high rating on IMDb, I decided to go see this movie. Beyond that high rating, I intentionally avoided reading any of the reviews. I wanted to go into the theater with a clean slate, without knowing the plot or having predetermined expectations.<br /><br />Given my rating, you can see that I was disappointed. I enjoyed the development of the main character Mike Enslin. I also enjoyed how the hotel manager attempted to talk him out of entering the hotel room. By the time Enslin entered the room, I was ready for some scary stuff.<br /><br />First chocolates appear on the pillow and the toilet paper is folded. Enslin reacts in a believable manner. He's freaked out. I'm encouraged and think to myself, this is going to be good. The people who made this movie understand that less is more.<br /><br />But it's what happens next that was a big let down. The subtleness is quickly replaced by the predictable shotgun approach... Just blast the audience with every Hollywood scary trick in the book and hope that something works. Let's see, a clock radio that turns on by itself? Good, that's always scary. Objects that move around in the room? Good, you can't complain about that. Blood dripping from the walls and sink? Great. Ghosts that commit suicide? Good. Anything else? How about loud noises, shaking, fire, more shaking, messing up the room, more blood, etc etc. It's all good. And it's all been done before. Overstimulate our Attention Deficit Disordered audience with all kinds of stuff in quick succession, and they won't be able to look away.<br /><br />Well, it didn't work for me. And you know what else? When I go see a horror movie in a theater, it's typical to hear several groups of girls in the audience yelling in fear at scary moments. But this movie had no scary moments. The audience was silent and disinterested. I felt no chill down my spine. Nothing. The Shining was 100x what this movie tries to be.<br /><br />So who are all these people who are saying that it is one of the best horror movies ever? Friends of the director? Sorry, I just don't get it.
0	"I'm amazed how many comments on this show are about how ""real"" it is. Maybe I'm not part of the same universe because if Veronica Mars is anything, it's over the top in a big way.<br /><br />The acting is chewing the scenery with enthusiasm and the plots have holes you could drive a truck through. That's not what I call real.<br /><br />It is so earnest in its desire to be ""relevant"" that it only shows how cut-off from reality Rob Thomas and his staff are.<br /><br />Overall, I found it to be at best a snooze-fest and at worst more than a little annoying. Kristen Bell looks like she could be a good actress, but it's hard to tell with the over-the-top style of the whole show."
1	Loved this film. Real people, great acting, humour, unpredictable. The characters were believable and you really connected with them. If you're looking for a film about slightly offbeat characters outside the mainstream of society and how they help each other, this would be a good choice.
1	This is a most handsome film. The color photography is beautiful as it shows the lavishness of the Metropolitan Opera House in brilliant color. Other indoor scenes at various mansions, etc are equally brilliant. As for the music, what more can be said other than that Lanza's voice was at its' peak as he sang so many of the worlds' best known and beloved arias. The marvelous Dorothy Kirsten is also a joy as her soprano voice blends with that of Lanza in delightful harmony. Of course, Hollywood took their customary liberties with the life story of Caruso. There is precious little in the story line that relates to actual events. For example, the facts relating to his death are totally fabricated and bear no relationship to the truth. There are some very good web sites that tell the true story of Caruso and contain several pictures of him. These web sites can be located by using any good search engine. There are also several books available concerning his life history. But, the fictional story line does nothing to mar this beautiful film. The voices of Lanza, Kirsten, and the chorus members are the real stars of this movie. Enjoy, I know that I sure did.
0	Absolute garbage, worse fight scenes than a 20 year old van damme movie or American ninja etc.<br /><br />Truly dire acting, not a skill in sight in the entire movie its like a cast of wooden sculptures.<br /><br />Watch it just for how truly bad this film is, it may have been acceptable in the 80s but this is a 2006 movie, i don't have much love for this movie as it wasn't born in the 80s.<br /><br />If you like real fight movies then check out tony jaa in ong bak and the protector, those are proper martial arts films.<br /><br />have a laugh and watch this today you may see the unintenional humour at how grim it is.
0	"Please don't waste your time. This movie rehashes the worst of Bram Stoker's Dracula (Van Helsing), Anne Rice's Vampire Lestat (rock music and silly biblical references), and Blade (high-tech toys). I really like vampire movies and novels, and there are many out there that are very good . But not this stinker. Not even the soundtrack helps it, mostly because the movie resorts to ridiculous scary classical music rather than the ""kick-ass metal"" some reported. Only a few times did I hear any metal; mostly it was tortured violins. Avoid it like garlic and crucifixes."
1	A Kafkaesque thriller of alienation and paranoia. Extremely well done and Polanski performs well as the diffident introvert trying hard to adapt to his dingy Paris lodgings and his fellow lodgers. Horrifying early on because of the seeming mean and self obsessed fellow tenants and horrifying later on as he develops his defences which will ultimately be his undoing. Personally I could have done without the cross dressing element but I accept the nod to Psycho and the fact that it had some logic, bearing in mind the storyline. Nevertheless it could have worked without and would have removed the slightly theatrical element, but then maybe that was intended because the courtyard certainly seems to take on the look of a theatre at the end. I can't help feel that there are more than a few of the director's own feelings of not being a 'real' Frenchman and Jewish to boot. Still, there is plenty to enjoy here including a fine performance from a gorgeous looking Isabelle Adjani and good old Shelly Winters is as reliable as ever.
0	This flick was a blow to me. I guess little girls should aspire to be nothing more than swimsuit models, home makers or mistresses, since that seems to be all they'll ever be portrayed as anyway. It is truly saddening to see an artist's work and life being so unjustly misinterpretated. Inconcievably (or perhaps it should have been expected), Artemisia's entire character and all that she stands for, had been reduced to a standard Hollywood, female character; a pitiful, physically flawless, helpless little creature, displaying none of the character traits that actually got her that place in history which was being mutilated here. Sadder yet, was to see that a great part of the audience was too badly educated in the area to comprehend the incredible gap between the message conveyed in the film, and reality. To portray the artist as someone in love with her real-life rapist, someone whom she in reality accused of raping her even when under torture, just plain pisses me off. If the director had nothing more substantial to say she should have refrained from basing her story on a real person.
0	"I really wanted to like this western, being a fan of the genre and a fan of ""Buffalo Bill,"" ""Wild Bill Hickok,"" and ""Calamity Jane,"" all of whom are in this story! Add to the mix Gary Cooper as the lead actor, and it sounded great. <br /><br />The trouble was.....it wasn't. I found myself looking at my watch just 40 minutes into this, being bored to death. Jean Arthur's character was somewhat annoying and James Ellison just did not look like nor act like ""Buffalo Bill."" Cooper wasn't at his best, either, sounding too wooden. This was several years before he hit his prime as an actor.<br /><br />In a nutshell, his western shot blanks. Head up the pass and watch another oater because most of 'em were far better than this one."
1	John Thaw is a an excellent actor. I have to admit that I was impressed by his range in the role of a crusty old curmudgeon who reluctantly agrees to take in an evacuee from the streets of London (WWII time era).<br /><br />That being said, the film is also excellent. A very moving story with a satisfying ending. Some of the characters are a little underdeveloped (the school teacher in particular), but none of them are essential to the plot. Basically, the story is about the old man and the boy, and the film needs little else.
1	"This oddity from Roman Polanski clearly shows where his preoccupations lay at the time he made it. Polanski himself plays a timid man who rents a Parisian apartment where the previous tenant committed suicide. He becomes obsessed with discovering what led her to it, to the point that he's dressing in drag and reenacting events the way they might have unfolded. The movie's unsettling to a point, and it has that atmosphere of creepy dread that Polanski excels at, but it comes off too much as a rehash of ""Rosemary's Baby"" and ""Repulsion,"" two other better Polanski films that deal with the eerie goings on in moody apartments.<br /><br />But as for the preoccupation....unless I'm reading too much into the film, I have to believe that this was Polanksi's reaction to the feelings of persecution he felt at being labeled a sexual pervert and exiled from America. Not making a judgement about him one way or the other myself, but it's hard to deny the evidence of that in the movie itself.<br /><br />Grade: B+"
1	"It's hard for me to assign the ""fair"" number of stars to this film, but I settled on 8 because of its high production values and what was, in 1968, an innovative approach to the war film. Remember too that I haven't seen it since 1969. But it did make a strong impression.<br /><br />The Long Day's Dying must be one of the most vivid antiwar films ever made. It achieves this simply by portraying in extremely realistic terms the actions of a handful of soldiers in Northwestern Europe in 1944-45. No film before this one showed war at the infantry squad level with so much brutal detail, and all in a coldly dispassionate way that lets the actions speak for themselves. There is no preaching, no sentimentality, no comic relief, no complicated scenarios.<br /><br />Unfortunately, there's no subtlety either. Partly because of their situation - trying to stay alive - the characters come across as flat, familiar cliché's. As ""entertainment,"" the film doesn't make it, though it was clearly not intended to ""entertain."" It was intended to slug you over the head with the misery and horror of World War II and modern war in general. This was twenty years before Platoon and thirty before Saving Private Ryan, both of which are far more ""watchable"" films. Here the flat and generally disagreeable characters, the lack of an actual plot, and the realistically unpleasant images (including what may be the first on-screen vomit in theatrical history) make the film hard to sit through, though it is only 95 minutes.<br /><br />So, 10 stars for production and realism, 4 stars for the feeling you'll have when it's over, a bonus star for having its heart in the right place. Average: 8.<br /><br />Like Carl Foreman's underrated ""The Victors,"" an equally downbeat but more interesting and thought-provoking film, The Long Day's Dying seems not to be on DVD. Why not? Both films have been on cable a number of times."
1	"""House of Games"" is a flawlessly constructed film, and one of the few films I have seen that had me gaping at the screen in astonishment at how cleverly and unexpectedly it ends. I first saw it on video a few years back after reading Roger Ebert's review, which proclaimed it the best film of 1987. I had my doubts, mainly because it is not quite as well known as other films from that year. Boy, was I in for a surprise. This was one of the smartest, most well-written movies I had ever seen.<br /><br />The screenplay is quite a piece of work, not only in terms of the plot (which twists and turns and pulls the rug out from under you just when you think you have it all figured out), but also in terms of character development. On my second viewing, I began to realize that Mamet's screenplay succeeds not only as a clever suspense film, but that each plot development contributes to our understanding of the characters and their motivations. The climax of the movie is particularly effective, because it is absolutely inevitable. It stems naturally from what we know about the characters, and it is therefore much more than just an arbitrary twist ending. The performances by Lindsay Crouse and Joe Mantegna also add enormously to the film. I cannot picture any other actor besides Mantegna playing the role of Mike, and Crouse plays her role with just the right amount of restraint to suggest a repressed criminal mindset. Their work, plus Mamet's extraordinary screenplay, combine to create one of the greatest films of the 1980's. It is truly a must-see."
1	The only reason I knew of Midnight Cowboy was because it was in the AFI Critic's Top 100. For a top 100 it is not a very well known movie; indeed, I had to look hard to find a copy, I got the DVD version for about half-price. Surprisingly it was only rated M15+ (the uncut version).<br /><br />I doubt many will take notice of this review (more like comment) so I'll make it brief.<br /><br />This is perhaps one of the strangest movies I've seen, partly because of the use of montages, artistic filming (very art-house) and the unusual theme. There are many things in the film I still don't understand (I've seen it twice), and it makes for an emotionally confusing film.<br /><br />The filming and acting were very good, and it is the larger than life characters which make this film memorable. The main character is Joe Buck, a 'cowboy' from Texas who moves to New York to become a male prostitute. He meets the crippled conman Enrico 'Ratso' Rizzo and, of course they become friends going through the usual escapades. What makes the film interesting is the two characters are so different.<br /><br />I felt the film didn't really develop the relationship between Buck and Enrico Rizzo for the audience to have any real emotional connection, although the ending is certainly quite sad and tragic. You probably already know what happens by reading the reviews, but its pretty obvious from the start.<br /><br />I personally think the film beautifully and poignantly explores its main themes. The deprivation of humanity (shown by the darkness of the city streets, the breaking-down tenements). Most of the characters in the film exist beyond the law (a conman, giggolo.etc) yet you can't help liking them. Joe Buck is endearing because he is so naive and optimistic, while we begin to feel pity for Ratso later in the film.<br /><br />I think the film was rated so high because it was certainly very ground-breaking for its period. At the time (And even now) it was definitely not a typical movie (quite art-house). At a time when the cinema was dominated by tired westerns, musicals and dramas a film with such an unusual theme as Midnight Cowboy pops up.<br /><br />On a personal level, I must say I quite liked the film. The imagery conveyed a dream-like quality. I particularly liked the scene at the party, the music, images etc stay in your mind for a long time after watching. However, as a movie for entertainment's sake it was a bit lacking (not really my style of movie) in thrills. This is a film to be savoured and appreciated, rather than a cheap thrills action flick.<br /><br />Although I would hardly consider myself qualified to analyse this film, the characters and their motives were quite interesting. From what I understand from the flashbacks, Joe Buck was sexually abused as a child by his grandmother, although it still doesn't seem to be relevant to the story. He is a happy-go-lucky young stud, who suppresses his darker memories. The religious connotations in the film are also puzzling. Some have suggested a homosexual connection between Buck and Ratso, although I fail to see where they have got the idea from. The theme of homo-sexuality in general is more than touched upon in their conversation, and later in Joe Buck's encounter with a lonely old man, but it has little to do with the main story.<br /><br />Certainly from a technical point of view one of the finest films of the decade (it has more of a 70s feel to it than a 60s feel) and revolutionary for its time touching on subjects few other films dared to do. While it has a simple, sentimental story to it (disguised by a hard edge) the beauty of the film is in the strange, often psychedelic sequences.
0	"This is not horror, as the first part was: This is (""campy"") light and humorous entertainment. Like in so many sequels, the action starts right away with no explanations. But there's boobs, so I don't complain. And real boobs that is. If I understand correctly, those are quite rare today amongst the teenage girls in U.S. of A. Which brings to my mind the fact that the main actress here is Pamela ""Bruce's sister"" Springsteen.<br /><br />This cannot be thought without the first movie, so I compare this to it. Again there is too small clothing (mainly pants) and funny hair, it's not hard to tell what decade this film is made in. Again there is really strange characters, this time even more visibly ""pathological"" ones. Especially the personnel of the camp. It's like some mental rehabilitation summer camp. People are older: Most of the actors must be at least 25, but I think they're supposed to be 16 or something. Some ""methods"" used by the Evil Dyke are quite unpleasant. Actually this movie don't have much in common with the first part, and this is worse than it in every way."
0	Formula flick of guy who wants girl, guy who will lie to get next to girl, guy who will get best friend to help in outrageous way (comedus reliefus, no?) to help deceive girl, etc. This one's been done to death, and with rare exception of a few z-rated outings, it's been done better.<br /><br />Stale plot aside, the leads are attractive and there's a couple of good moments. Jonathon Schaech has done better, and his acting here came close to being phoned in. Not a complete loss, but nothing new here in this tepid affair.
0	What? Is Jamie Foxx supposed to be funny?Does he really believe he is funny?Well, it's funny watching his confidence in being funny.The man has no identity whatsoever...I mean you can immediately see who his idols are, Denzel Washington and Martin Lawrence, because he tries really hard to imitate them in most of his movies.The only problem is that he does it bad, uneven, and what comes out are some parts where he somewhat looks like Denzel, with that macho-s**t attitude and then abruptly goes to being Martin Lawrence, the funny and clumsy-silly comic. There's no personal touch to all that, I mean he contributes nothing to the personality he tries to sell, and I'm sure he has nothing to say personally. He really is Mr. Dull-boy in person.<br /><br />I was really hoping Hollywood, and the black community in America would find somebody better to launch into super stardom, like Don Cheadle for example, but perhaps the pathetic Jamie better represents the generation that remixes the old.
0	"Despite some occasionally original touches, like the ""virtual sets"" that provide the background for the Victorian interiors featuring Ada Lovelace and her circle, this film falls short and ultimately disappoints. Newcomer Francesca Faridany seems talented, but is wasted as Emmy, a character who by mid-film is reduced to nothing more than staring at a monitor watching Lady Ada narrate an autobiography. 'Conceiving Ada' takes off briefly when Lady Ada (Tilda Swinton) appears; the camera lingers on her facial expressions, mannerisms, even making her appear to be translucent or momentarily invisible, apporting into scenes to dramatize Emmy's ""virtual"" rendering of her.<br /><br />A straightforward biopic of Ada Lovelace would have been worthwhile, but this film unfortunately makes a hash of both Lady Ada's life, and that of a modern-day computer scientist (and her broadly-drawn, doltish boyfriend)."
