ID;loan_amnt;term;int_rate;installment;emp_length;home_ownership;annual_inc;purpose;title;STATE;delinq_2yrs;revol_bal; revol_util ;total_pymnt;loan_status
84;4500; 36 months;6.03%;136.96;4 years;RENT;53000;major_purchase;Auto Loan;CA;0;8630; 0.139 ;4930.555891;Fully Paid
85;7000; 36 months;12.69%;234.82;10+ years;RENT;35000;credit_card;I pay my all credit;CA;0;7649; 0.823 ;8453.260001;Fully Paid
86;9200; 36 months;12.42%;307.43;2 years;RENT;60000;debt_consolidation;Nissan Car Loan;CA;0;23299; 0.787 ;10482.84389;Fully Paid
87;14000; 60 months;17.27%;349.98;4 years;RENT;28000;other;dental care;WA;0;6986; 0.794 ;20998.02476;Fully Paid
88;4500; 60 months;10.65%;97.06;< 1 year;MORTGAGE;42000;car;Car Loan;TX;0;8220; 0.783 ;4910.673856;Fully Paid
89;12000; 36 months;16.29%;423.61;9 years;RENT;88365;debt_consolidation;loan payoff;AZ;0;22936; 0.964 ;14688.34153;Fully Paid
91;12000; 36 months;10.65%;390.88;< 1 year;RENT;62000;credit_card;Credit Card Refinance;TX;0;20310; 0.784 ;12780.07239;Fully Paid
92;7000; 36 months;10.65%;228.02;3 years;MORTGAGE;43680;credit_card;Credit Card Consolidation;MN;0;6245; 0.781 ;7689.273614;Fully Paid
95;7000; 36 months;11.71%;231.54;4 years;OWN;39120;debt_consolidation;Emergency Loan;FL;0;9414; 0.524 ;7933.963623;Fully Paid
96;15300; 60 months;22.06%;423.1;6 years;RENT;85000;credit_card;Consolidation;VA;0;26524; 0.897 ;25385.07915;Fully Paid
98;17500; 60 months;17.27%;437.47;7 years;MORTGAGE;45000;credit_card;Debit Free;WA;0;20129; 0.861 ;10037.7;Charged Off
100;6000; 60 months;12.69%;135.57;< 1 year;RENT;81000;major_purchase;Major Purchase Loan;CO;1;15102; 0.500 ;8134.048298;Fully Paid
101;6200; 36 months;9.91%;199.8;2 years;RENT;25000;debt_consolidation;Wells/Chase ReFi;CA;0;6533; 0.477 ;2456.33;Charged Off
102;16000; 60 months;17.58%;402.65;7 years;RENT;65000;debt_consolidation;Debt Consolidation Loan;KS;0;21166; 0.871 ;24011.06;Fully Paid
103;6000; 36 months;8.90%;190.52;8 years;OWN;28800;debt_consolidation;Debt consolidation;NJ;0;5269; 0.368 ;6858.700001;Fully Paid
105;9500; 36 months;8.90%;301.66;7 years;MORTGAGE;50000;credit_card;Credit Card Loan;TX;0;13422; 0.605 ;10495.82126;Fully Paid
106;18825; 60 months;16.77%;465.53;10+ years;RENT;38000;debt_consolidation;Coledon's Club Loan;TX;0;11004; 0.797 ;18749.25;Charged Off
107;24000; 36 months;10.65%;781.76;10+ years;RENT;45000;debt_consolidation;Debt Consolidation Loan;CA;0;24708; 0.552 ;28143.25001;Fully Paid
108;6000; 36 months;13.49%;203.59;10+ years;RENT;80000;debt_consolidation;smaller loan;CA;0;15499; 0.838 ;7328.920002;Fully Paid
109;6000; 36 months;13.49%;203.59;5 years;RENT;50000;debt_consolidation;Consolidate;AZ;0;15191; 0.915 ;7328.920002;Fully Paid
110;2100; 36 months;12.42%;70.18;10+ years;MORTGAGE;30000;vacation;12/2011 loan;LA;0;12183; 0.829 ;2553.84;Fully Paid
111;5500; 36 months;6.62%;168.88;8 years;MORTGAGE;110000;small_business;Computer Equipment;CT;0;14136; 0.219 ;6079.289999;Fully Paid
112;11000; 36 months;6.62%;337.75;8 years;OWN;45608;debt_consolidation;payoff;LA;0;10677; 0.587 ;12158.61;Fully Paid
113;26800; 60 months;20.89%;723.38;3 years;MORTGAGE;120000;debt_consolidation;credit loan;FL;0;14772; 0.480 ;32895.86293;Fully Paid
114;8000; 36 months;12.69%;268.36;5 years;MORTGAGE;35000;debt_consolidation;Credit Card Consolidation;IL;0;6842; 0.977 ;9000.143229;Fully Paid
115;10000; 36 months;18.25%;362.78;1 year;RENT;75000;credit_card;Credit Card;CA;0;22828; 0.963 ;11730.6;Charged Off
116;8000; 36 months;11.71%;264.61;9 years;MORTGAGE;35000;credit_card;Consolidation Loan;NV;0;6142; 0.465 ;9435.85818;Fully Paid
117;10000; 36 months;8.90%;317.54;6 years;RENT;24000;debt_consolidation;Start Fresh 2012;CA;0;6734; 0.495 ;10869.33055;Fully Paid
118;12000; 36 months;11.71%;396.92;2 years;MORTGAGE;126000;debt_consolidation;Chase;OH;0;32711; 0.541 ;14183.43257;Fully Paid
123;10000; 36 months;9.91%;322.25;3 years;RENT;31200;debt_consolidation;Debt consolidation loan;NY;0;5540; 0.270 ;10904.83903;Fully Paid
124;13650; 36 months;12.42%;456.12;4 years;RENT;66000;debt_consolidation;Debt Consolidation;NV;0;8933; 0.565 ;16012.11212;Fully Paid
125;28000; 60 months;19.91%;312.04;10+ years;RENT;52000;debt_consolidation;Debt Consalidation;TX;0;29178; 0.876 ;12181.32;Charged Off
126;18000; 36 months;7.90%;563.23;10+ years;RENT;56964;debt_consolidation;Debt Consolidation / Lower CC Rate;CA;0;17381; 0.766 ;20276.0603;Fully Paid
127;2500; 36 months;14.27%;85.78;7 years;RENT;49500;debt_consolidation;Money;FL;0;9868; 0.377 ;2529.902083;Fully Paid
129;35000; 36 months;8.90%;1111.37;6 years;MORTGAGE;125000;debt_consolidation;Debt Consolidation;CA;0;9051; 0.348 ;40009.00999;Fully Paid
130;10000; 36 months;7.51%;311.11;3 years;RENT;33000;credit_card;Financial Freedom;NJ;0;68; 0.006 ;11028.3575;Fully Paid
131;7000; 36 months;12.69%;234.82;< 1 year;RENT;30000;credit_card;Credit Card;VA;0;15455; 0.476 ;8453.250717;Fully Paid
132;24000; 36 months;15.96%;843.3;8 years;MORTGAGE;90000;home_improvement;home improve;CA;0;30952; 0.712 ;5903.1;Charged Off
134;5000; 36 months;14.65%;172.48;2 years;RENT;24000;debt_consolidation;Debt Consolidation;PA;0;2429; 0.333 ;5682.99014;Fully Paid
136;6375; 36 months;7.51%;198.34;4 years;RENT;44000;debt_consolidation;Credit Cards & Laptop;GA;0;6324; 0.580 ;6737.872873;Fully Paid
137;6000; 36 months;11.71%;198.46;1 year;RENT;90000;credit_card;Credit Card;NJ;1;8489; 0.566 ;7041.911592;Fully Paid
138;11100; 36 months;6.62%;340.82;10+ years;RENT;41000;credit_card;Help me out;PA;0;17518; 0.623 ;8124.54;Charged Off
139;10000; 60 months;12.69%;225.95;2 years;MORTGAGE;56000;debt_consolidation;Debt Consolidation;CA;0;10081; 0.312 ;12739.07;Fully Paid
140;6200; 36 months;6.03%;188.71;5 years;MORTGAGE;26500;small_business;Business Loan;WV;0;2982; 0.160 ;6793.18285;Fully Paid
141;15000; 36 months;18.64%;547.12;1 year;RENT;54000;debt_consolidation;Debt Consolidation ;GA;0;15183; 0.903 ;19405.30244;Fully Paid
142;4200; 36 months;11.71%;138.92;2 years;RENT;53000;other;Relocation Assistance;MD;0;8336; 0.797 ;5001.080367;Fully Paid
144;8875; 36 months;7.51%;276.11;1 year;MORTGAGE;38000;debt_consolidation;Credit Card Debt Consolidation;GA;0;19056; 0.621 ;9713.561012;Fully Paid
147;16000; 60 months;19.91%;423.11;4 years;RENT;55000;;;;;;;;Fully Paid
150;8450; 60 months;16.77%;208.97;5 years;OWN;25000;debt_consolidation;PayCC;IL;0;17614; 0.835 ;12206.22001;Fully Paid
153;12000; 36 months;16.29%;423.61;5 years;MORTGAGE;80000;credit_card;Credit Card;GA;0;29609; 0.972 ;14949.9047;Fully Paid
154;13475; 60 months;13.49%;309.99;10+ years;RENT;25000;credit_card;Bills;CA;0;9943; 0.658 ;6199.8;Charged Off
156;5600; 36 months;14.65%;193.17;1 year;MORTGAGE;85000;debt_consolidation;Debt Consolidation;AZ;1;6812; 0.908 ;1352.19;Charged Off
157;12000; 36 months;14.27%;411.71;< 1 year;RENT;57000;debt_consolidation;Debt consolodation;CA;0;9273; 0.815 ;14401.59573;Fully Paid
159;8000; 36 months;9.91%;257.8;2 years;RENT;34000;credit_card;Credit Card;PA;0;7434; 0.785 ;9280.79;Fully Paid
160;8000; 36 months;12.42%;267.33;10+ years;RENT;40000;credit_card;Credit Card Loan;OR;0;18601; 0.882 ;9623.539087;Fully Paid
161;16000; 60 months;15.27%;382.92;10+ years;RENT;42656.4;debt_consolidation;debt consolidation;GA;0;12830; 0.923 ;22394.08;Fully Paid
163;10000; 36 months;9.91%;322.25;2 years;OWN;30000;debt_consolidation;Credit Card Payoff;VT;0;9152; 0.668 ;11387.44049;Fully Paid
164;10000; 36 months;6.62%;307.04;5 years;MORTGAGE;70000;credit_card;credit card payoff;NY;0;10770; 0.690 ;10903.4743;Fully Paid
165;8000; 36 months;14.65%;275.96;3 years;RENT;28000;car;Car Loan;CA;0;6187; 0.543 ;8637.015205;Fully Paid
166;22000; 36 months;9.91%;708.95;2 years;MORTGAGE;50000;debt_consolidation;High interest credit card consolidation;MI;0;21470; 0.498 ;25523.44999;Fully Paid
167;6000; 36 months;14.27%;205.86;10+ years;MORTGAGE;94800;car;Auto Loan;TX;0;71890; 0.959 ;7217.547545;Fully Paid
168;16000; 60 months;9.91%;339.25;10+ years;OWN;40000;debt_consolidation;Debt consolidation;FL;0;13270; 0.285 ;20209.06;Fully Paid
169;2500; 36 months;7.51%;77.78;n/a;OWN;12000;debt_consolidation;GET FREE OF DEBT;CA;0;4853; 0.422 ;1838.88;Charged Off
170;13500; 36 months;9.91%;435.04;2 years;MORTGAGE;36000;credit_card;Bye Bye Credit Cards;DC;0;25011; 0.672 ;15622.37656;Fully Paid
171;25000; 36 months;12.42%;835.39;2 years;RENT;225000;debt_consolidation;Consolidation loan;NJ;1;30449; 0.346 ;30073.68;Fully Paid
172;10000; 36 months;13.49%;339.31;2 years;RENT;45900;small_business;Small Business Loan;CA;0;8936; 0.483 ;12177.62544;Fully Paid
173;2500; 36 months;13.49%;84.83;4 years;RENT;27200;debt_consolidation;zipcar;WA;0;3473; 0.681 ;3053.71;Fully Paid
174;7325; 36 months;12.69%;245.72;1 year;RENT;42000;debt_consolidation;Debt Consolidation;FL;0;7281; 0.650 ;8845.75;Fully Paid
175;4000; 36 months;12.42%;133.67;5 years;RENT;135000;credit_card;credit card consolidation;NY;0;29311; 0.857 ;4337.425225;Fully Paid
176;10000; 36 months;13.49%;339.31;5 years;RENT;65000;small_business;Small Business Loan;CA;1;14292; 0.695 ;9270.84;Charged Off
179;9600; 36 months;12.42%;320.79;10+ years;RENT;65000;debt_consolidation;GetoutofDebt;NY;0;11279; 0.709 ;11338.81668;Fully Paid
182;13350; 36 months;12.42%;446.1;10+ years;RENT;43000;;;;;;;;Fully Paid
183;15000; 36 months;16.77%;533.08;10+ years;RENT;42000;debt_consolidation;Debt Consolidation Loan;WI;0;8238; 0.749 ;13373.77;Charged Off
184;15000; 36 months;17.27%;536.81;8 years;RENT;75000;debt_consolidation;debt consolidation;CA;0;13505; 0.759 ;10199.39;Charged Off
185;11000; 60 months;13.49%;253.06;10+ years;MORTGAGE;129000;debt_consolidation;Breathing Room;CA;0;1735; 0.241 ;15121.77002;Fully Paid
186;35000; 36 months;10.65%;1140.07;2 years;MORTGAGE;168000;debt_consolidation;pertsonal loan;TX;1;1099; 0.014 ;38061.50488;Fully Paid
187;9000; 36 months;10.65%;293.16;9 years;MORTGAGE;74000;credit_card;Credit Card Refi;SD;0;7388; 0.717 ;10553.74;Fully Paid
188;22475; 60 months;15.27%;537.87;7 years;MORTGAGE;52000;debt_consolidation;Debt Consolidation;NH;0;18554; 0.618 ;32080.69004;Fully Paid
189;16000; 36 months;12.69%;536.72;1 year;RENT;58500;debt_consolidation;Consolidation;IL;0;26224; 0.893 ;12295.72;Charged Off
190;13500; 36 months;12.69%;452.86;5 years;RENT;71000;debt_consolidation;Debt Consolidation;VA;0;6681; 0.777 ;16302.76;Fully Paid
193;8400; 60 months;16.77%;207.73;5 years;RENT;87996;major_purchase;Ring;NY;0;9551; 0.803 ;12290.64001;Fully Paid
194;28000; 60 months;17.58%;704.64;5 years;MORTGAGE;140000;home_improvement;70%Attached room,30%cc-loanconsolidation;NC;0;2686; 0.134 ;28411.15;Fully Paid
195;14000; 36 months;6.62%;429.86;10+ years;RENT;66000;;;;;;;;Fully Paid
196;12000; 36 months;14.27%;411.71;8 years;MORTGAGE;70000;other;Debt Consolidation Loan;NY;0;11546; 0.862 ;4249.37;Charged Off
197;25000; 36 months;11.71%;826.9;10+ years;MORTGAGE;100000;debt_consolidation;Debt Consolidation Loan;RI;0;21128; 0.891 ;29279.4541;Fully Paid
198;9000; 36 months;12.69%;301.91;5 years;RENT;50000;debt_consolidation;Debt Consolidation Loan;NY;0;12752; 0.554 ;10868.48;Fully Paid
199;13250; 36 months;10.65%;431.6;4 years;RENT;35000;debt_consolidation;Debt Consolidation Loan;OH;0;13392; 0.587 ;15537.4;Fully Paid
200;20000; 36 months;13.49%;678.61;6 years;RENT;75000;debt_consolidation;LC Loan;CA;0;19548; 0.908 ;23865.33884;Fully Paid
202;7350; 36 months;10.65%;239.42;10+ years;MORTGAGE;48000;debt_consolidation;Debt consolidation;AR;0;15587; 0.775 ;8618.839995;Fully Paid
203;11500; 36 months;15.27%;400.18;5 years;RENT;36000;debt_consolidation;Debt consolidation;FL;0;8969; 0.767 ;14406.18999;Fully Paid
204;13650; 36 months;12.42%;456.12;10+ years;MORTGAGE;86000;debt_consolidation;Debt Consolidation;CA;0;16140; 0.734 ;8204.31;Charged Off
208;11500; 36 months;15.27%;400.18;10+ years;MORTGAGE;44200;credit_card;Credit Card;CA;0;13147; 0.900 ;13605.53078;Fully Paid
210;29500; 60 months;20.30%;786.51;6 years;MORTGAGE;83000;debt_consolidation;debt consolidation ;NM;0;22087; 0.898 ;45755.22998;Fully Paid
211;2000; 36 months;15.27%;69.6;2 years;RENT;41000;moving;moving;TX;0;18115; 0.964 ;2520.401456;Fully Paid
212;11625; 36 months;13.49%;394.45;< 1 year;MORTGAGE;36000;credit_card;CC Debt;KS;0;19979; 0.847 ;14199.83;Fully Paid
214;5300; 36 months;15.27%;184.43;1 year;RENT;30000;credit_card;Consolidate Closed Credit Accounts;CT;0;7855; 0.827 ;6627.889998;Fully Paid
215;8200; 36 months;6.62%;251.77;< 1 year;RENT;40000;home_improvement;remodel;PA;0;2573; 0.255 ;9063.720001;Fully Paid
216;12000; 36 months;12.42%;400.99;9 years;MORTGAGE;105000;credit_card;Credit Card Consolidation;TX;0;11243; 0.750 ;14435.34999;Fully Paid
218;21000; 60 months;17.27%;294.98;10+ years;MORTGAGE;109000;;;;;;;;Fully Paid
219;16000; 60 months;17.27%;399.97;2 years;RENT;50000;debt_consolidation;Debt Consolidation;TX;0;15788; 0.422 ;23997.98745;Fully Paid
220;12000; 36 months;12.42%;400.99;2 years;RENT;83000;debt_consolidation;Debt Consolidation;CA;0;16550; 0.511 ;14435.35;Fully Paid
221;9500; 36 months;12.69%;318.68;< 1 year;MORTGAGE;52500;moving;Moved to California;CA;0;23729; 0.753 ;7010.96;Charged Off
222;7400; 36 months;13.49%;251.09;< 1 year;OWN;25000;debt_consolidation;consolihappydaytion;AZ;0;5199; 0.928 ;9039.034417;Fully Paid
224;24250; 60 months;23.91%;519.76;7 years;MORTGAGE;120000;debt_consolidation;Debt Consolidation;AZ;0;31992; 0.990 ;22206.82132;Fully Paid
225;7200; 36 months;7.90%;225.29;3 years;RENT;68000;debt_consolidation;Bank of America Pay-Off Loan;GA;0;8783; 0.829 ;7738.96;Charged Off
227;7000; 60 months;11.71%;154.69;6 years;MORTGAGE;69600;credit_card;Debt consolidation;WA;0;45449; 0.909 ;6143.14;Charged Off
230;19600; 36 months;12.42%;654.94;2 years;RENT;75000;credit_card;Personnel Loan;NY;0;20355; 0.501 ;21996.45731;Fully Paid
231;2500; 36 months;11.71%;82.69;7 years;MORTGAGE;29000;debt_consolidation;debt;AZ;0;2668; 0.667 ;2896.888187;Fully Paid
233;10000; 36 months;6.62%;307.04;5 years;RENT;45000;credit_card;Credit Card;OH;0;10133; 0.704 ;11053.31;Fully Paid
234;4225; 36 months;12.42%;141.18;5 years;MORTGAGE;55200;other;Other;WA;0;4055; 0.737 ;5082.460001;Fully Paid
235;3500; 36 months;7.90%;109.52;7 years;MORTGAGE;61440;vacation;extra cash for vacation;CA;1;15472; 0.555 ;3942.557993;Fully Paid
236;12000; 36 months;6.62%;368.45;10+ years;MORTGAGE;56000;debt_consolidation;Debt Consolidation;FL;0;9873; 0.803 ;13263.96;Fully Paid
238;22000; 60 months;21.67%;603.5;< 1 year;RENT;55000;debt_consolidation;Debt consolidation ;WA;0;20154; 0.794 ;25029.21535;Fully Paid
239;12000; 36 months;14.65%;413.94;1 year;RENT;71000;;;;;;;;Fully Paid
240;15600; 60 months;12.69%;352.48;10+ years;RENT;50000;vacation;vacation loan;NY;0;8079; 0.357 ;17152.34;Charged Off
241;10800; 36 months;12.42%;360.89;8 years;RENT;135000;credit_card;Paying off Credit Cards;CA;0;18467; 0.745 ;13007.71999;Fully Paid
242;14000; 36 months;12.42%;467.82;10+ years;MORTGAGE;63000;credit_card;Credit Card Refi 2011;GA;0;17212; 0.978 ;16793.82458;Fully Paid
243;18825; 60 months;17.58%;473.75;4 years;MORTGAGE;44000;debt_consolidation;Debt Consolidation;NY;0;14092; 0.932 ;28424.10406;Fully Paid
244;6000; 36 months;13.49%;203.59;5 years;MORTGAGE;50000;debt_consolidation;Consolidation loan;NM;0;7361; 0.836 ;7328.920002;Fully Paid
245;12000; 36 months;9.91%;386.7;5 years;RENT;80000;debt_consolidation;CC Consolidation;TX;0;17536; 0.677 ;13909.61999;Fully Paid
246;10000; 36 months;12.42%;334.16;4 years;RENT;45000;debt_consolidation;payoff credit cards;WA;0;10177; 0.516 ;12029.45;Fully Paid
247;8000; 36 months;7.90%;250.33;2 years;RENT;78000;vacation;vacation;NY;0;15988; 0.559 ;8847.221069;Fully Paid
248;14125; 36 months;9.91%;455.18;1 year;RENT;33000;debt_consolidation;Debt Consolidation;OR;0;19472; 0.660 ;16058.32565;Fully Paid
249;14000; 36 months;12.69%;469.63;5 years;RENT;62800;debt_consolidation;Credit Card Consolidation;WA;0;13579; 0.645 ;16902.98001;Fully Paid
250;13200; 60 months;17.27%;224.36;3 years;RENT;26400;;;;;;;;Fully Paid
251;4000; 36 months;19.03%;146.69;10+ years;MORTGAGE;80000;vacation;Loan2011;NC;1;6654; 0.226 ;4341.504299;Fully Paid
252;4000; 36 months;12.69%;134.18;2 years;RENT;25000;debt_consolidation;Car loan;CO;0;8546; 0.797 ;2029.25;Charged Off
253;10500; 36 months;6.03%;319.58;10+ years;MORTGAGE;65000;debt_consolidation;Credit Card Consolidation;TX;0;10729; 0.187 ;11504.35;Fully Paid
254;5500; 36 months;7.90%;172.1;10+ years;OWN;59000;car;Car Loan;PA;0;9130; 0.433 ;6172.07856;Fully Paid
255;7350; 36 months;11.71%;243.11;1 year;RENT;33000;debt_consolidation;Credit card payment;CA;0;24782; 0.779 ;8728.625013;Fully Paid
256;10000; 36 months;12.42%;334.16;10+ years;RENT;39000;credit_card;credit card consolidation;MO;0;11691; 0.906 ;11604.88;Charged Off
257;12000; 36 months;7.51%;373.33;10+ years;RENT;42000;debt_consolidation;debt consolidation;OH;0;18913; 0.430 ;13459.56667;Fully Paid
258;5000; 60 months;11.71%;110.5;5 years;MORTGAGE;38004;home_improvement;Floor;MI;0;10023; 0.573 ;6534.43;Fully Paid
